model_tag,problem_id,subject,level,n,c,pass_at_1,pass_at_3,distinct_answers,avg_output_len,gold,preds
base,test/algebra/1796.json,Algebra,5,3,3,1.0,1.0,1,1547.3,2\sqrt{5},"[""2\\sqrt{5}"", ""2\\sqrt{5}"", ""2\\sqrt{5}""]"
base,test/algebra/1814.json,Algebra,2,3,2,0.6666666666666667,1.0,2,2804.0,143,"[""9.23\\text{km/hnorth}"", ""143"", ""143""]"
base,test/algebra/1837.json,Algebra,5,3,0,0.0,0.0,2,2846.3,5,"[""4"", ""0"", null]"
base,test/algebra/1842.json,Algebra,2,3,3,1.0,1.0,1,1274.7,49,"[""49"", ""49"", ""49""]"
base,test/algebra/187.json,Algebra,4,3,3,1.0,1.0,1,1303.0,3,"[""3"", ""3"", ""3""]"
base,test/algebra/1934.json,Algebra,4,3,2,0.6666666666666667,1.0,2,2649.0,13,"[""27"", ""13"", ""13""]"
base,test/algebra/1936.json,Algebra,3,3,3,1.0,1.0,1,1037.3,-1,"[""-1"", ""-1"", ""-1""]"
base,test/algebra/1937.json,Algebra,1,3,2,0.6666666666666667,1.0,2,2456.7,1600,"[""1600"", ""1600"", ""13""]"
base,test/algebra/1960.json,Algebra,4,3,3,1.0,1.0,1,855.7,9,"[""9"", ""9"", ""9""]"
base,test/algebra/2023.json,Algebra,3,3,0,0.0,0.0,1,2492.7,1,"[""3"", ""3"", ""3""]"
base,test/algebra/2036.json,Algebra,3,3,3,1.0,1.0,1,1292.0,3\sqrt{13},"[""3\\sqrt{13}"", ""3\\sqrt{13}"", ""3\\sqrt{13}""]"
base,test/algebra/2043.json,Algebra,5,3,3,1.0,1.0,1,1637.0,(-\infty2)\cup(3\infty),"[""(-\\infty2)\\cup(3\\infty)"", ""(-\\infty2)\\cup(3\\infty)"", ""(-\\infty2)\\cup(3\\infty)""]"
base,test/algebra/2046.json,Algebra,3,3,2,0.6666666666666667,1.0,2,2727.7,x^3+3x-6,"[""x^3+3x-6"", ""-3"", ""x^3+3x-6""]"
base,test/algebra/2058.json,Algebra,4,3,3,1.0,1.0,1,3219.0,13,"[""13"", ""13"", ""13""]"
base,test/algebra/2064.json,Algebra,5,3,3,1.0,1.0,1,2614.3,81,"[""81"", ""81"", ""81""]"
base,test/algebra/2080.json,Algebra,3,3,3,1.0,1.0,1,1112.0,14,"[""14"", ""14"", ""14""]"
base,test/algebra/2102.json,Algebra,3,3,1,0.33333333333333337,1.0,3,1611.3,56,"[""56"", ""52"", ""44""]"
base,test/algebra/2157.json,Algebra,2,3,3,1.0,1.0,1,1082.0,2,"[""2"", ""2"", ""2""]"
base,test/algebra/2159.json,Algebra,3,3,3,1.0,1.0,1,1146.3,11,"[""11"", ""11"", ""11""]"
base,test/algebra/2176.json,Algebra,5,3,1,0.33333333333333337,1.0,3,3284.0,3,"[""3"", ""\\infty"", ""3150000""]"
base,test/algebra/2193.json,Algebra,5,3,0,0.0,0.0,1,1268.0,x=5,"[""5"", ""5"", ""5""]"
base,test/algebra/2199.json,Algebra,1,3,3,1.0,1.0,1,1072.0,7,"[""7"", ""7"", ""7""]"
base,test/algebra/2214.json,Algebra,2,3,3,1.0,1.0,1,709.0,4,"[""4"", ""4"", ""4""]"
base,test/algebra/2232.json,Algebra,4,3,3,1.0,1.0,1,1072.3,-3,"[""-3"", ""-3"", ""-3""]"
base,test/algebra/224.json,Algebra,4,3,3,1.0,1.0,1,1114.0,8,"[""8"", ""8"", ""8""]"
base,test/algebra/2251.json,Algebra,2,3,3,1.0,1.0,1,1099.7,3,"[""3"", ""3"", ""3""]"
base,test/algebra/2253.json,Algebra,4,3,3,1.0,1.0,1,1166.3,\frac{3\sqrt{3}}{4},"[""\\frac{3\\sqrt{3}}{4}"", ""\\frac{3\\sqrt{3}}{4}"", ""\\frac{3\\sqrt{3}}{4}""]"
base,test/algebra/2257.json,Algebra,4,3,0,0.0,0.0,1,1364.3,\frac9{19},"[""\\frac{9}{19}"", ""\\frac{9}{19}"", ""\\frac{9}{19}""]"
base,test/algebra/2264.json,Algebra,5,3,3,1.0,1.0,1,1162.3,1+2i,"[""1+2i"", ""1+2i"", ""1+2i""]"
base,test/algebra/2277.json,Algebra,5,3,2,0.6666666666666667,1.0,2,3516.7,0,"[""0"", ""0"", ""6""]"
base,test/algebra/2391.json,Algebra,4,3,2,0.6666666666666667,1.0,2,3554.0,10,"[""10"", ""10"", ""YOUR_ANSWER""]"
base,test/algebra/24.json,Algebra,1,3,3,1.0,1.0,1,910.0,2000,"[""2000"", ""2000"", ""2000""]"
base,test/algebra/2427.json,Algebra,5,3,1,0.33333333333333337,1.0,3,1675.0,10,"[""5"", ""5.0"", ""10""]"
base,test/algebra/2430.json,Algebra,4,3,3,1.0,1.0,1,2513.7,8,"[""8"", ""8"", ""8""]"
base,test/algebra/246.json,Algebra,4,3,3,1.0,1.0,1,1309.0,8,"[""8"", ""8"", ""8""]"
base,test/algebra/2470.json,Algebra,1,3,3,1.0,1.0,1,1683.0,137\frac{1}{2},"[""137\\frac{1}{2}"", ""137\\frac{1}{2}"", ""137\\frac{1}{2}""]"
base,test/algebra/2476.json,Algebra,2,3,2,0.6666666666666667,1.0,2,2209.0,10,"[""11"", ""10"", ""10""]"
base,test/algebra/2486.json,Algebra,5,3,2,0.6666666666666667,1.0,2,2657.7,(\frac{3}{5}\frac{8}{3}],"[""(\\frac{3}{5}\\frac{8}{3}]"", ""(\\frac{3}{5}\\frac{8}{3}]"", ""2""]"
base,test/algebra/251.json,Algebra,2,3,3,1.0,1.0,1,1011.7,2,"[""2"", ""2"", ""2""]"
base,test/algebra/2517.json,Algebra,5,3,2,0.6666666666666667,1.0,2,1955.0,-\frac{35}{9},"[""-\\frac{35}{9}"", ""\\frac{37}{9}"", ""-\\frac{35}{9}""]"
base,test/algebra/2551.json,Algebra,1,3,2,0.6666666666666667,1.0,2,1498.3,10,"[""10"", ""16"", ""10""]"
base,test/algebra/2570.json,Algebra,4,3,3,1.0,1.0,1,1726.3,2107,"[""2107"", ""2107"", ""2107""]"
base,test/algebra/2584.json,Algebra,3,3,2,0.6666666666666667,1.0,2,1035.0,\frac{14}{3},"[""\\frac{14}{3}"", ""\\frac{14}{3}"", ""-\\frac{17}{3}""]"
base,test/algebra/2592.json,Algebra,1,3,1,0.33333333333333337,1.0,3,1264.0,26000,"[""26000"", ""24000"", ""2x+3""]"
base,test/algebra/2593.json,Algebra,2,3,2,0.6666666666666667,1.0,2,976.7,8000,"[""8000"", ""8000"", ""134040""]"
base,test/algebra/2626.json,Algebra,5,3,0,0.0,0.0,3,3331.0,\32348,"[""32348"", ""31674"", ""6120""]"
base,test/algebra/2680.json,Algebra,2,3,3,1.0,1.0,1,910.7,5r^5,"[""5r^5"", ""5r^5"", ""5r^5""]"
base,test/algebra/2700.json,Algebra,5,3,1,0.33333333333333337,1.0,3,2183.0,\frac{3}{2},"[""\\frac{3}{5}"", ""\\frac{3}{2}"", ""1""]"
base,test/algebra/2735.json,Algebra,2,3,0,0.0,0.0,3,2091.0,\frac{11+9a}{20},"[""\\frac{3a+11}{20}"", ""10"", ""\\frac{9a+11}{20}""]"
base,test/algebra/2743.json,Algebra,2,3,3,1.0,1.0,1,914.3,29,"[""29"", ""29"", ""29""]"
base,test/algebra/276.json,Algebra,2,3,3,1.0,1.0,1,2152.3,12,"[""12"", ""12"", ""12""]"
base,test/algebra/2779.json,Algebra,5,3,1,0.33333333333333337,1.0,3,2871.3,20,"[""31"", ""(xy)\\text{suchthat}(x\\mod2=y\\mod2)"", ""20""]"
base,test/algebra/2780.json,Algebra,5,3,0,0.0,0.0,3,1521.0,\18.90,"[""14.4"", ""20.70"", ""14.40""]"
base,test/algebra/2789.json,Algebra,1,3,2,0.6666666666666667,1.0,2,691.0,47,"[""47"", ""47"", ""41""]"
base,test/algebra/291.json,Algebra,5,3,2,0.6666666666666667,1.0,2,1718.7,\frac{2}{3},"[""\\frac{2}{3}"", ""\\frac{2}{3}"", ""3""]"
base,test/algebra/297.json,Algebra,5,3,0,0.0,0.0,3,2646.3,1736,"[""-100"", ""392"", ""28""]"
base,test/algebra/305.json,Algebra,5,3,3,1.0,1.0,1,2034.7,5,"[""5"", ""5"", ""5""]"
base,test/algebra/346.json,Algebra,2,3,3,1.0,1.0,1,839.7,7,"[""7"", ""7"", ""7""]"
base,test/algebra/351.json,Algebra,3,3,3,1.0,1.0,1,1163.0,2,"[""2"", ""2"", ""2""]"
base,test/algebra/425.json,Algebra,3,3,3,1.0,1.0,1,962.3,-128,"[""-128"", ""-128"", ""-128""]"
base,test/algebra/435.json,Algebra,3,3,3,1.0,1.0,1,782.3,25,"[""25"", ""25"", ""25""]"
base,test/algebra/478.json,Algebra,1,3,3,1.0,1.0,1,845.3,65,"[""65"", ""65"", ""65""]"
base,test/algebra/509.json,Algebra,5,3,3,1.0,1.0,1,1958.0,\frac{13}{6},"[""\\frac{13}{6}"", ""\\frac{13}{6}"", ""\\frac{13}{6}""]"
base,test/algebra/518.json,Algebra,3,3,0,0.0,0.0,1,1474.3,\frac34,"[""\\frac{3}{4}"", ""\\frac{3}{4}"", ""\\frac{3}{4}""]"
base,test/algebra/524.json,Algebra,2,3,3,1.0,1.0,1,812.7,4005,"[""4005"", ""4005"", ""4005""]"
base,test/algebra/529.json,Algebra,4,3,3,1.0,1.0,1,1448.0,81,"[""81"", ""81"", ""81""]"
base,test/algebra/567.json,Algebra,1,3,3,1.0,1.0,1,1923.0,1,"[""1"", ""1"", ""1""]"
base,test/algebra/621.json,Algebra,4,3,3,1.0,1.0,1,1149.7,3.21,"[""3.21"", ""3.21"", ""3.21""]"
base,test/algebra/634.json,Algebra,3,3,1,0.33333333333333337,1.0,3,1661.0,4,"[""r=4"", ""4"", ""-\\frac{1}{2}""]"
base,test/algebra/661.json,Algebra,3,3,1,0.33333333333333337,1.0,3,655.0,36,"[""40"", ""36"", ""4""]"
base,test/algebra/668.json,Algebra,4,3,3,1.0,1.0,1,1469.7,45,"[""45"", ""45"", ""45""]"
base,test/algebra/686.json,Algebra,5,3,1,0.33333333333333337,1.0,3,3628.3,4,"[""2"", ""21"", ""4""]"
base,test/algebra/694.json,Algebra,3,3,3,1.0,1.0,1,1684.0,16,"[""16"", ""16"", ""16""]"
base,test/algebra/722.json,Algebra,1,3,3,1.0,1.0,1,696.7,9901,"[""9901"", ""9901"", ""9901""]"
base,test/algebra/733.json,Algebra,5,3,2,0.6666666666666667,1.0,1,1004.0,6,"[""6"", ""6"", null]"
base,test/algebra/769.json,Algebra,3,3,2,0.6666666666666667,1.0,2,2393.0,11,"[""5150"", ""11"", ""11""]"
base,test/algebra/776.json,Algebra,5,3,1,0.33333333333333337,1.0,3,2065.7,-2,"[""\\frac{1}{56}"", ""-2"", ""-11""]"
base,test/algebra/791.json,Algebra,4,3,2,0.6666666666666667,1.0,2,2061.3,41,"[""41"", ""41"", ""a=41""]"
base,test/algebra/824.json,Algebra,4,3,3,1.0,1.0,1,1293.7,12,"[""12"", ""12"", ""12""]"
base,test/algebra/841.json,Algebra,1,3,3,1.0,1.0,1,1328.0,350,"[""350"", ""350"", ""350""]"
base,test/algebra/849.json,Algebra,1,3,3,1.0,1.0,1,706.7,18,"[""18"", ""18"", ""18""]"
base,test/algebra/853.json,Algebra,5,3,1,0.33333333333333337,1.0,3,2532.3,12,"[""12"", ""7"", ""2""]"
base,test/algebra/858.json,Algebra,4,3,3,1.0,1.0,1,1396.7,-2,"[""-2"", ""-2"", ""-2""]"
base,test/algebra/864.json,Algebra,2,3,3,1.0,1.0,1,810.3,(-16),"[""(-16)"", ""(-16)"", ""(-16)""]"
base,test/algebra/873.json,Algebra,4,3,3,1.0,1.0,1,1789.7,33,"[""33"", ""33"", ""33""]"
base,test/algebra/892.json,Algebra,5,3,3,1.0,1.0,1,2315.3,2,"[""2"", ""2"", ""2""]"
base,test/algebra/893.json,Algebra,4,3,2,0.6666666666666667,1.0,2,2983.0,-1,"[""5"", ""-1"", ""-1""]"
base,test/algebra/907.json,Algebra,4,3,3,1.0,1.0,1,1742.7,2,"[""2"", ""2"", ""2""]"
base,test/algebra/972.json,Algebra,4,3,3,1.0,1.0,1,3151.7,\frac{11}{2},"[""\\frac{11}{2}"", ""\\frac{11}{2}"", ""\\frac{11}{2}""]"
base,test/algebra/975.json,Algebra,5,3,2,0.6666666666666667,1.0,2,1562.7,-4,"[""-4"", ""-4"", ""\\text{YourAnswer}""]"
base,test/algebra/988.json,Algebra,1,3,2,0.6666666666666667,1.0,2,2842.7,11,"[""\\text{Theseries}\\sum_{n=1}^{\\infty}\\frac{\\sin(n\\pi)}{\\sqrt{n}}\\text{converges.}"", ""11"", ""11""]"
base,test/counting_and_probability/10.json,Counting & Probability,4,3,0,0.0,0.0,2,2086.0,4,"[""3"", ""-2"", ""3""]"
base,test/counting_and_probability/1003.json,Counting & Probability,5,3,0,0.0,0.0,3,5281.7,29,"[""1.49211618948316"", ""6"", ""36""]"
base,test/counting_and_probability/1009.json,Counting & Probability,5,3,3,1.0,1.0,1,1313.7,28,"[""28"", ""28"", ""28""]"
base,test/counting_and_probability/1014.json,Counting & Probability,4,3,2,0.6666666666666667,1.0,2,1699.0,480,"[""576"", ""480"", ""480""]"
base,test/counting_and_probability/1060.json,Counting & Probability,2,3,1,0.33333333333333337,1.0,3,990.7,1260,"[""1260"", ""2520"", ""}&\\quad\\boxed{1260}\\\\""]"
base,test/counting_and_probability/1114.json,Counting & Probability,4,3,2,0.6666666666666667,1.0,2,1274.3,\frac{11}{36},"[""\\frac{11}{36}"", ""\\frac{11}{36}"", ""YOUR_ANSWER""]"
base,test/counting_and_probability/116.json,Counting & Probability,2,3,3,1.0,1.0,1,921.7,4495,"[""4495"", ""4495"", ""4495""]"
base,test/counting_and_probability/119.json,Counting & Probability,4,3,3,1.0,1.0,1,1510.7,-125,"[""-125"", ""-125"", ""-125""]"
base,test/counting_and_probability/134.json,Counting & Probability,4,3,2,0.6666666666666667,1.0,2,1471.0,720,"[""720"", ""720"", ""4320""]"
base,test/counting_and_probability/14.json,Counting & Probability,1,3,0,0.0,0.0,1,1039.3,\frac14,"[""\\frac{1}{4}"", ""\\frac{1}{4}"", ""\\frac{1}{4}""]"
base,test/counting_and_probability/159.json,Counting & Probability,5,3,3,1.0,1.0,1,1797.0,28800,"[""28800"", ""28800"", ""28800""]"
base,test/counting_and_probability/181.json,Counting & Probability,5,3,0,0.0,0.0,2,1440.3,19,"[null, ""13"", ""9""]"
base,test/counting_and_probability/188.json,Counting & Probability,5,3,0,0.0,0.0,3,4179.0,\frac{1}{2},"[""\\frac{4}{9}"", ""\\frac{2}{9}"", ""\\frac{8}{9}""]"
base,test/counting_and_probability/190.json,Counting & Probability,2,3,3,1.0,1.0,1,814.0,6,"[""6"", ""6"", ""6""]"
base,test/counting_and_probability/199.json,Counting & Probability,2,3,0,0.0,0.0,2,2306.7,13,"[""14"", ""14"", ""19""]"
base,test/counting_and_probability/216.json,Counting & Probability,5,3,2,0.6666666666666667,1.0,2,1864.0,1940,"[""1984"", ""1940"", ""1940""]"
base,test/counting_and_probability/230.json,Counting & Probability,4,3,0,0.0,0.0,1,1936.0,\frac{2}{21},"[""\\frac{1}{7}"", ""\\frac{1}{7}"", ""\\frac{1}{7}""]"
base,test/counting_and_probability/238.json,Counting & Probability,4,3,0,0.0,0.0,2,1308.0,10080,"[""1260"", ""5040"", ""5040""]"
base,test/counting_and_probability/23957.json,Counting & Probability,3,3,3,1.0,1.0,1,1169.7,210,"[""210"", ""210"", ""210""]"
base,test/counting_and_probability/25149.json,Counting & Probability,4,3,2,0.6666666666666667,1.0,2,1459.3,63,"[""63"", ""63"", ""35""]"
base,test/counting_and_probability/282.json,Counting & Probability,4,3,0,0.0,0.0,3,2942.7,\frac{1}{2},"[""120"", ""0.5"", ""\\frac{1}{3}""]"
base,test/counting_and_probability/339.json,Counting & Probability,4,3,3,1.0,1.0,1,1209.3,12,"[""12"", ""12"", ""12""]"
base,test/counting_and_probability/377.json,Counting & Probability,4,3,0,0.0,0.0,3,2382.7,\frac{448}{15625},"[""0.0768"", ""\\frac{2240}{78125}"", ""125""]"
base,test/counting_and_probability/389.json,Counting & Probability,2,3,3,1.0,1.0,1,979.3,28,"[""28"", ""28"", ""28""]"
base,test/counting_and_probability/430.json,Counting & Probability,4,3,0,0.0,0.0,3,6108.3,\frac{1}{3},"[""\\frac{1}{6}"", ""660"", ""0.2""]"
base,test/counting_and_probability/508.json,Counting & Probability,3,3,3,1.0,1.0,1,1217.7,10080,"[""10080"", ""10080"", ""10080""]"
base,test/counting_and_probability/51.json,Counting & Probability,5,3,1,0.33333333333333337,1.0,2,1948.3,\frac{13}{18},"[""\\frac{25}{36}"", ""\\frac{25}{36}"", ""\\frac{13}{18}""]"
base,test/counting_and_probability/525.json,Counting & Probability,5,3,1,0.33333333333333337,1.0,2,2549.7,144,"[""144"", ""576"", ""576""]"
base,test/counting_and_probability/666.json,Counting & Probability,2,3,3,1.0,1.0,1,1461.7,225,"[""225"", ""225"", ""225""]"
base,test/counting_and_probability/71.json,Counting & Probability,3,3,3,1.0,1.0,1,1715.0,3,"[""3"", ""3"", ""3""]"
base,test/counting_and_probability/731.json,Counting & Probability,5,3,0,0.0,0.0,3,2531.7,\frac{1}{2},"[""\\frac{1}{4}"", ""\\frac{1}{4k}"", ""\\frac{k^2+1}{4k}""]"
base,test/counting_and_probability/737.json,Counting & Probability,2,3,1,0.33333333333333337,1.0,2,1213.3,58500,"[""14625"", ""58500"", ""14625""]"
base,test/counting_and_probability/761.json,Counting & Probability,1,3,2,0.6666666666666667,1.0,2,2974.7,3,"[""\\begin{cases}\n-\\frac{n}{2}&\\text{if}n\\text{iseven}\\\\\n\\frac{n+1}{2}&\\text{if}n\\text{isodd}\n\\end{cases}"", ""3"", ""3""]"
base,test/counting_and_probability/765.json,Counting & Probability,5,3,1,0.33333333333333337,1.0,3,3812.0,110,"[""110"", ""105"", ""YOUR_ANSWER""]"
base,test/counting_and_probability/803.json,Counting & Probability,4,3,3,1.0,1.0,1,1119.0,\frac{1}{4},"[""\\frac{1}{4}"", ""\\frac{1}{4}"", ""\\frac{1}{4}""]"
base,test/counting_and_probability/870.json,Counting & Probability,5,3,2,0.6666666666666667,1.0,2,3869.3,\frac{1}{3},"[""4"", ""\\frac{1}{3}"", ""\\frac{1}{3}""]"
base,test/counting_and_probability/894.json,Counting & Probability,5,3,2,0.6666666666666667,1.0,2,3086.3,540,"[""540"", ""540"", ""1""]"
base,test/counting_and_probability/913.json,Counting & Probability,3,3,3,1.0,1.0,1,2754.3,6,"[""6"", ""6"", ""6""]"
base,test/geometry/106.json,Geometry,2,3,3,1.0,1.0,1,1522.3,31,"[""31"", ""31"", ""31""]"
base,test/geometry/1097.json,Geometry,4,3,2,0.6666666666666667,1.0,2,2114.7,63,"[""64"", ""63"", ""63""]"
base,test/geometry/1108.json,Geometry,2,3,3,1.0,1.0,1,1387.7,(24),"[""(24)"", ""(24)"", ""(24)""]"
base,test/geometry/1140.json,Geometry,5,3,2,0.6666666666666667,1.0,2,2805.3,\frac{3840}{289},"[""\\frac{3840}{289}"", ""3"", ""\\frac{3840}{289}""]"
base,test/geometry/172.json,Geometry,5,3,0,0.0,0.0,3,1632.0,8,"[""\\frac{64}{3}"", ""12"", ""48""]"
base,test/geometry/178.json,Geometry,3,3,1,0.33333333333333337,1.0,3,4130.3,2,"[""(-13)"", ""2"", ""243""]"
base,test/geometry/183.json,Geometry,5,3,0,0.0,0.0,2,1740.7,145^\circ,"[""75"", ""145"", ""145""]"
base,test/geometry/221.json,Geometry,3,3,1,0.33333333333333337,1.0,3,1656.7,30,"[""\\sqrt{802}"", ""30"", ""29.66479394838265""]"
base,test/geometry/226.json,Geometry,1,3,0,0.0,0.0,2,1346.3,180^\circ,"[""180"", ""180"", ""90""]"
base,test/geometry/229.json,Geometry,5,3,0,0.0,0.0,3,5219.0,16,"[""0"", ""14"", ""57""]"
base,test/geometry/248.json,Geometry,2,3,3,1.0,1.0,1,797.7,5,"[""5"", ""5"", ""5""]"
base,test/geometry/254.json,Geometry,2,3,3,1.0,1.0,1,1294.7,3,"[""3"", ""3"", ""3""]"
base,test/geometry/283.json,Geometry,4,3,3,1.0,1.0,1,2798.7,8,"[""8"", ""8"", ""8""]"
base,test/geometry/347.json,Geometry,3,3,0,0.0,0.0,1,1309.7,76^\circ,"[""76"", ""76"", ""76""]"
base,test/geometry/353.json,Geometry,4,3,3,1.0,1.0,1,1727.0,\sqrt{5},"[""\\sqrt{5}"", ""\\sqrt{5}"", ""\\sqrt{5}""]"
base,test/geometry/434.json,Geometry,1,3,2,0.6666666666666667,1.0,2,1961.0,28,"[""28"", ""28"", ""112""]"
base,test/geometry/456.json,Geometry,2,3,2,0.6666666666666667,1.0,2,2964.7,3,"[""3"", ""3"", ""40""]"
base,test/geometry/465.json,Geometry,4,3,1,0.33333333333333337,1.0,3,2329.7,120,"[""100"", ""120"", ""YOUR_ANSWER""]"
base,test/geometry/473.json,Geometry,4,3,0,0.0,0.0,1,1360.7,864\mbox{inches}^2,"[""864"", ""864"", ""864""]"
base,test/geometry/477.json,Geometry,3,3,3,1.0,1.0,1,1033.0,216,"[""216"", ""216"", ""216""]"
base,test/geometry/483.json,Geometry,4,3,3,1.0,1.0,1,1656.3,15,"[""15"", ""15"", ""15""]"
base,test/geometry/538.json,Geometry,4,3,1,0.33333333333333337,1.0,3,2943.0,(8-2),"[""(10-4)"", ""(8-2)"", ""\\frac{1008}{1345}""]"
base,test/geometry/547.json,Geometry,4,3,0,0.0,0.0,1,1463.0,54,"[""150"", ""150"", ""150""]"
base,test/geometry/561.json,Geometry,5,3,0,0.0,0.0,3,2411.7,\frac{7}{2},"[""5+2\\sqrt{2}"", ""3+2\\sqrt{2}"", ""1""]"
base,test/geometry/615.json,Geometry,4,3,3,1.0,1.0,1,1299.0,106^\circ,"[""106^\\circ"", ""106^\\circ"", ""106^\\circ""]"
base,test/geometry/627.json,Geometry,4,3,3,1.0,1.0,1,3160.0,17,"[""17"", ""17"", ""17""]"
base,test/geometry/65.json,Geometry,3,3,0,0.0,0.0,2,3362.7,30^\circ,"[""30"", ""30"", ""60""]"
base,test/geometry/686.json,Geometry,5,3,1,0.33333333333333337,1.0,3,1908.3,18+2\pi,"[""36+\\frac{9\\pi}{2}"", ""36"", ""18+2\\pi""]"
base,test/geometry/702.json,Geometry,5,3,0,0.0,0.0,3,3993.0,160,"[""280-6\\sqrt{749}"", ""70"", ""100""]"
base,test/geometry/711.json,Geometry,5,3,0,0.0,0.0,3,2924.3,1+2\sqrt{3},"[""3\\sqrt{3}"", ""\\sqrt{3}"", ""\\frac{\\sqrt{3}}{2}+3""]"
base,test/geometry/73.json,Geometry,2,3,3,1.0,1.0,1,1770.0,4,"[""4"", ""4"", ""4""]"
