model_tag,problem_id,subject,level,n,c,pass_at_1,pass_at_3,distinct_answers,avg_output_len,gold,preds
sft,math_train_3619,Intermediate Algebra,Level 5,3,0,0.0,0.0,3,2968.7,\frac{15}{2},"[""3"", ""1"", ""\\frac{46}{25}""]"
sft,math_train_4099,Intermediate Algebra,Level 3,3,2,0.6666666666666667,1.0,2,4149.3,\frac{3}{4},"[""\\frac{3}{4}"", ""\uff11\uff10"", ""\\frac{3}{4}""]"
sft,math_train_4375,Intermediate Algebra,Level 4,3,3,1.0,1.0,1,1296.3,x^3-6x^2+64,"[""x^3-6x^2+64"", ""x^3-6x^2+64"", ""x^3-6x^2+64""]"
sft,math_train_4571,Intermediate Algebra,Level 4,3,0,0.0,0.0,2,2143.0,-12\text{or}-30,"[""-30-12"", ""-30-12"", ""-12-30""]"
sft,math_train_4627,Intermediate Algebra,Level 4,3,0,0.0,0.0,3,6167.3,802,"[""20"", ""\uff11\uff10"", ""0""]"
sft,math_train_4696,Number Theory,Level 3,3,2,0.6666666666666667,1.0,2,2314.7,199,"[""199"", ""199"", ""263""]"
sft,math_train_4715,Number Theory,Level 3,3,0,0.0,0.0,2,1408.0,4:51:06\text{p.m.},"[""16:51:06"", ""16:51:06"", ""04:51:06""]"
sft,math_train_4926,Number Theory,Level 1,3,3,1.0,1.0,1,1085.3,1,"[""1"", ""1"", ""1""]"
sft,math_train_5201,Number Theory,Level 4,3,3,1.0,1.0,1,1351.7,6,"[""6"", ""6"", ""6""]"
sft,math_train_5234,Number Theory,Level 5,3,0,0.0,0.0,3,1578.7,358,"[""590"", ""989"", ""941""]"
sft,math_train_5630,Prealgebra,Level 1,3,3,1.0,1.0,1,700.3,0,"[""0"", ""0"", ""0""]"
sft,math_train_5821,Prealgebra,Level 3,3,3,1.0,1.0,1,867.3,\frac{2}{7},"[""\\frac{2}{7}"", ""\\frac{2}{7}"", ""\\frac{2}{7}""]"
sft,math_train_5863,Prealgebra,Level 2,3,3,1.0,1.0,1,812.7,700,"[""700"", ""700"", ""700""]"
sft,math_train_5867,Prealgebra,Level 2,3,3,1.0,1.0,1,1023.3,80,"[""80"", ""80"", ""80""]"
sft,math_train_6068,Prealgebra,Level 2,3,3,1.0,1.0,1,724.7,16,"[""16"", ""16"", ""16""]"
sft,math_train_6197,Prealgebra,Level 4,3,3,1.0,1.0,1,1289.3,179,"[""179"", ""179"", ""179""]"
sft,math_train_6577,Prealgebra,Level 2,3,3,1.0,1.0,1,747.0,1320,"[""1320"", ""1320"", ""1320""]"
sft,math_train_691,Algebra,Level 3,3,3,1.0,1.0,1,805.0,6,"[""6"", ""6"", ""6""]"
sft,math_train_6959,Precalculus,Level 2,3,3,1.0,1.0,1,775.3,\frac{52}{47},"[""\\frac{52}{47}"", ""\\frac{52}{47}"", ""\\frac{52}{47}""]"
sft,math_train_7095,Precalculus,Level 4,3,1,0.33333333333333337,1.0,3,3964.7,(4\frac{\pi}{12}),"[""(4\\frac{\\pi}{12})"", ""(4\\sqrt{2}\\frac{\\pi}{12})"", ""(2\\frac{\\pi}{12})""]"
sft,math_train_7114,Precalculus,Level 5,3,0,0.0,0.0,2,2456.0,\begin{pmatrix}1/4\\-7/4\\1/2\end{pmatrix},"[""\\begin{pmatrix}\\frac{1}{9}\\\\-\\frac{7}{9}\\\\\\frac{2}{9}\\end{pmatrix}"", ""\\begin{pmatrix}1\\\\-7\\\\2\\end{pmatrix}"", ""\\begin{pmatrix}1\\\\-7\\\\2\\end{pmatrix}""]"
sft,math_train_756,Algebra,Level 3,3,3,1.0,1.0,1,985.3,\frac{\sqrt{6}}{4},"[""\\frac{\\sqrt{6}}{4}"", ""\\frac{\\sqrt{6}}{4}"", ""\\frac{\\sqrt{6}}{4}""]"
sft,math_train_7661,Algebra,Level 4,3,3,1.0,1.0,1,1437.3,66,"[""66"", ""66"", ""66""]"
sft,math_train_7840,Algebra,Level 3,3,3,1.0,1.0,1,795.7,3,"[""3"", ""3"", ""3""]"
sft,math_train_7906,Algebra,Level 5,3,0,0.0,0.0,1,2259.3,118\text{dollars},"[""118"", ""118"", ""118""]"
sft,math_train_7945,Algebra,Level 5,3,3,1.0,1.0,1,1881.0,4,"[""4"", ""4"", ""4""]"
sft,math_train_8003,Algebra,Level 5,3,3,1.0,1.0,1,2031.3,(-\infty2)\cup(3\infty),"[""(-\\infty2)\\cup(3\\infty)"", ""(-\\infty2)\\cup(3\\infty)"", ""(-\\infty2)\\cup(3\\infty)""]"
sft,math_train_8139,Algebra,Level 5,3,3,1.0,1.0,1,915.3,-9,"[""-9"", ""-9"", ""-9""]"
sft,math_train_8264,Algebra,Level 4,3,3,1.0,1.0,1,900.3,78,"[""78"", ""78"", ""78""]"
sft,math_train_8352,Algebra,Level 3,3,3,1.0,1.0,1,1171.3,(-119),"[""(-119)"", ""(-119)"", ""(-119)""]"
sft,math_train_8754,Counting & Probability,Level 4,3,3,1.0,1.0,1,1801.7,\frac{1}{4},"[""\\frac{1}{4}"", ""\\frac{1}{4}"", ""\\frac{1}{4}""]"
sft,math_train_8901,Counting & Probability,Level 5,3,3,1.0,1.0,1,2596.0,4,"[""4"", ""4"", ""4""]"
sft,math_train_8936,Counting & Probability,Level 4,3,3,1.0,1.0,1,1670.7,\frac{1}{5},"[""\\frac{1}{5}"", ""\\frac{1}{5}"", ""\\frac{1}{5}""]"
sft,math_train_9303,Geometry,Level 2,3,0,0.0,0.0,2,833.7,\frac35,"[""\\frac{3}{5}"", ""0.48"", ""0.48""]"
sft,math_train_9604,Geometry,Level 5,3,0,0.0,0.0,3,6394.3,-\frac{7}{12},"[""\\frac{12}{7}"", ""\uff11\uff10"", ""6""]"
sft,math_train_9905,Intermediate Algebra,Level 3,3,3,1.0,1.0,1,1935.0,2,"[""2"", ""2"", ""2""]"
sft,math_train_9989,Intermediate Algebra,Level 5,3,0,0.0,0.0,1,3143.7,87,"[""110"", ""110"", ""110""]"
